,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Date
0,caravelas,-17.7125,-39.2481,71.64,92,0,4.52,1626745679
1,yenagoa,4.9247,6.2642,73.17,91,81,3.76,1626745779
2,provideniya,64.3833,-173.3,50.11,81,90,8.95,1626745706
3,bredasdorp,-34.5322,20.0403,49.32,93,100,4.61,1626745625
4,puerto ayora,-0.7393,-90.3518,72.55,93,75,5.01,1626745659
5,mataura,-46.1927,168.8643,46.47,76,100,3.29,1626745622
6,manggar,-2.8833,108.2667,83.89,73,14,6.51,1626745780
7,castro,-24.7911,-50.0119,37.58,66,15,2.66,1626745625
8,maldonado,-34.6667,-54.9167,39.22,89,2,5.97,1626745780
9,kodiak,57.79,-152.4072,63.91,68,1,18.41,1626745642
10,russkaya polyana,49.417,31.9201,66.42,94,78,4.61,1626745781
11,hilo,19.7297,-155.09,80.62,69,40,5.75,1626745625
12,tura,25.5198,90.2201,78.39,90,100,3.67,1626745781
13,arraial do cabo,-22.9661,-42.0278,66.13,58,25,27.07,1626745646
14,punta arenas,-53.15,-70.9167,39.31,81,0,23.02,1626745622
15,busselton,-33.65,115.3333,55.04,79,100,16.51,1626745631
16,longyearbyen,78.2186,15.6401,42.64,75,75,6.91,1626745663
17,harper,4.375,-7.7169,76.24,73,73,9.66,1626745678
18,jaguaribe,-5.8906,-38.6219,76.51,80,88,5.84,1626745782
19,batagay-alyta,67.8006,130.4114,69.46,43,37,17.92,1626745715
20,mount isa,-20.7333,139.5,69.57,23,70,4.61,1626745490
21,hobart,-42.8794,147.3294,48.92,79,75,3.0,1626745505
22,kosonsoy,41.2561,71.5508,70.36,45,100,4.56,1626745782
23,port elizabeth,-33.918,25.5701,55.69,88,0,9.22,1626745643
24,north platte,41.1239,-100.7654,80.49,72,1,3.0,1626745783
25,albany,42.6001,-73.9662,70.74,89,28,4.83,1626745016
26,saint george,37.1041,-113.5841,88.27,53,75,8.01,1626745500
27,lebu,-37.6167,-73.65,51.91,92,87,10.31,1626745683
28,akdepe,42.0551,59.3788,84.2,20,8,6.11,1626745783
29,sayyan,15.1718,44.3244,59.59,80,100,5.44,1626745784
30,cabo san lucas,22.8909,-109.9124,92.8,51,1,17.27,1626745491
31,mayumba,-3.432,10.6554,70.29,92,11,5.28,1626745784
32,polur,12.5,79.1333,80.22,64,98,8.43,1626745784
